Date,Open,High,Low,Close
11/30/2022,"33,795.43","34,589.77","33,583.77","34,589.77"
11/29/2022,"33,847.80","33,933.91","33,662.45","33,852.53"
11/28/2022,"34,275.91","34,303.88","33,799.35","33,849.46"
11/25/2022,"34,213.04","34,386.51","34,199.57","34,347.03"
11/23/2022,"34,091.57","34,262.07","34,004.64","34,194.06"
11/22/2022,"33,810.05","34,115.70","33,810.05","34,098.10"
11/21/2022,"33,760.30","33,864.59","33,559.18","33,700.28"
11/18/2022,"33,606.59","33,827.94","33,540.64","33,745.69"
11/17/2022,"33,329.27","33,616.02","33,239.75","33,546.32"
11/16/2022,"33,554.93","33,682.83","33,516.99","33,553.83"
11/15/2022,"33,755.94","33,987.06","33,320.20","33,592.92"
11/14/2022,"33,662.05","33,964.30","33,533.96","33,536.70"
11/11/2022,"33,797.75","33,817.96","33,394.43","33,747.86"
11/10/2022,"33,263.91","33,727.73","33,167.82","33,715.37"
11/09/2022,"33,004.47","33,065.11","32,478.87","32,513.94"
11/08/2022,"32,934.56","33,355.39","32,831.46","33,160.83"
11/07/2022,"32,454.10","32,895.59","32,424.99","32,827.00"
11/04/2022,"32,265.01","32,611.52","31,938.92","32,403.22"
11/03/2022,"31,985.05","32,185.71","31,727.05","32,001.25"
11/02/2022,"32,576.28","33,071.93","32,139.77","32,147.76"
11/01/2022,"32,862.79","32,975.48","32,485.23","32,653.20"
10/31/2022,"32,754.27","32,883.86","32,586.93","32,732.95"
10/28/2022,"32,204.31","32,889.81","32,158.38","32,861.80"
10/27/2022,"32,062.14","32,388.42","31,993.21","32,033.28"
10/26/2022,"31,738.44","32,172.42","31,738.44","31,839.11"
10/25/2022,"31,463.65","31,876.15","31,423.53","31,836.74"
10/24/2022,"31,187.32","31,603.63","31,161.41","31,499.62"
10/21/2022,"30,291.18","31,119.27","30,206.28","31,082.56"
10/20/2022,"30,411.92","30,822.96","30,265.20","30,333.59"
10/19/2022,"30,439.04","30,662.11","30,226.90","30,423.81"
10/18/2022,"30,697.52","30,837.90","30,301.83","30,523.80"
10/17/2022,"30,059.58","30,311.95","29,997.62","30,185.82"
10/14/2022,"30,192.21","30,428.82","29,614.30","29,634.83"
10/13/2022,"28,755.83","30,168.54","28,660.94","30,038.72"
10/12/2022,"29,233.06","29,455.12","29,136.03","29,210.85"
10/11/2022,"29,085.20","29,608.42","29,074.23","29,239.19"
10/10/2022,"29,419.09","29,485.82","29,010.41","29,202.88"
10/07/2022,"29,685.27","29,685.27","29,142.66","29,296.79"
10/06/2022,"30,206.13","30,329.61","29,859.34","29,926.94"
10/05/2022,"30,078.36","30,454.46","29,886.44","30,273.87"
10/04/2022,"29,826.67","30,325.05","29,826.67","30,316.32"
10/03/2022,"28,855.25","29,647.79","28,855.25","29,490.89"
09/30/2022,"29,123.03","29,355.78","28,715.85","28,725.51"
09/29/2022,"29,513.73","29,513.73","28,997.34","29,225.61"
09/28/2022,"29,198.92","29,811.78","29,114.97","29,683.74"
09/27/2022,"29,419.88","29,659.12","28,958.22","29,134.99"
09/26/2022,"29,536.84","29,630.77","29,161.12","29,260.81"
09/23/2022,"29,955.65","29,955.65","29,250.47","29,590.41"
09/22/2022,"30,204.52","30,302.28","29,994.53","30,076.68"
09/21/2022,"30,819.39","31,020.79","30,181.99","30,183.78"
09/20/2022,"30,888.53","30,888.53","30,465.91","30,706.23"
09/19/2022,"30,722.86","31,026.89","30,559.37","31,019.68"
09/16/2022,"30,866.61","30,866.61","30,550.08","30,822.42"
